Country Rank,Country / Territory,CPI 2011 Score,Country Rank.1,Surveys Used,Standard Deviation,Maximum score,Minimum score,90% Confidence Interval (Lower bound),90% Confidence Interval (Higher bound),AFDB,ADB,BF_SGI,BF_TI,EIU_CRR,FH_NIT,GI_CRR,IMD2010,IMD2011,PERC2010,PERC2011,PRS_ICRG,TI_BPI,WB_CPIA,WEF2010,WEF2011,WJP_ROL
1,New Zealand,9.462681,1,9.0,0.0485994,9.698064,9.133939,9.378343,9.538873,,,9.698064,,9.133939,,9.318035,9.498153,9.48072,,,9.476295,,,9.530385,9.498153,9.530385
2,Denmark,9.39208,2,8.0,0.0546932,9.530385,9.133939,9.297147,9.476947,,,9.167364,,9.133939,,9.318035,9.530385,9.530385,,,9.476295,,,9.449851,9.530385,
2,Finland,9.403927,2,8.0,0.0689757,9.791739,9.133939,9.294209,9.520815,,,9.167364,,9.133939,,9.318035,9.48072,9.498153,,,9.791739,,,9.420731,9.420731,
4,Sweden,9.298488,4,9.0,0.0768482,9.698064,8.944249,9.171307,9.425705,,,9.698064,,9.133939,,9.318035,9.449851,9.000706,,,8.944249,,,9.48072,9.449851,9.210973
5,Singapore,9.166839,5,12.0,0.1305526,9.498153,8.092558,8.93714,9.365862,,,,8.33074,9.133939,,9.318035,9.420731,9.074059,9.48072,9.48072,8.092558,9.48072,,9.498153,9.48072,9.210973
6,Norway,8.989854,6,9.0,0.0658152,9.318035,8.65344,8.87962,9.098228,,,8.759862,,9.133939,,9.318035,8.65344,8.825305,,,8.944249,,,9.099897,9.074059,9.099897
7,Netherlands,8.894497,7,9.0,0.105207,9.318035,8.117478,8.710163,9.053493,,,8.117478,,9.133939,,9.318035,8.938204,9.099897,,,8.944249,,,8.735157,8.825305,8.938204
8,Australia,8.844156,8,11.0,0.1232545,9.420731,8.150993,8.634104,9.03912,,,8.759862,,9.133939,,9.318035,9.074059,9.420731,8.938204,8.938204,8.944249,,,8.150993,8.150993,8.456448
8,Switzerland,8.801674,8,8.0,0.216323,9.449851,7.530872,8.41923,9.127975,,,9.167364,,9.133939,,7.530872,9.099897,9.449851,,,8.092558,,,9.000706,8.938204,
10,Canada,8.672457,10,9.0,0.1528343,9.318035,8.076194,8.418767,8.924848,,,9.167364,,9.133939,,9.318035,8.735157,8.191609,,,8.944249,,,8.191609,8.293952,8.076194
11,Luxembourg,8.50703,11,8.0,0.2536243,9.099897,7.063669,8.065935,8.910046,,,8.759862,,7.063669,,7.530872,9.000706,8.938204,,,8.944249,,,8.718776,9.099897,
12,Hong Kong,8.389815,12,11.0,0.1705054,9.133939,7.337774,8.099813,8.661758,,,,,9.133939,,7.530872,8.191609,8.65344,8.076194,7.337774,8.092558,8.65344,,9.074059,8.718776,8.825305
13,Iceland,8.274027,13,8.0,0.2703263,9.476295,7.063669,7.83474,8.724485,,,9.167364,,7.063669,,7.530872,7.967392,8.076194,,,9.476295,,,8.825305,8.085124,
14,Germany,8.046144,14,10.0,0.1840346,9.133939,7.065256,7.752555,8.35391,,,8.117478,,9.133939,,7.530872,8.150993,7.871579,,,8.944249,7.871579,,7.065256,8.076194,7.699308
14,Japan,8.0409,14,12.0,0.2671987,9.074059,5.702449,7.578062,8.454067,,,5.702449,,7.063669,,7.530872,8.718776,7.967392,8.65344,8.65344,8.092558,7.442509,,8.938204,8.65344,9.074059
16,Austria,7.786903,16,10.0,0.2411189,8.944249,6.696539,7.413513,8.201601,,,8.117478,,7.063669,,7.530872,8.825305,7.065256,,,8.944249,8.076194,,7.093023,6.696539,8.456448
16,Barbados,7.773902,16,4.0,0.4016619,9.133939,7.093023,7.215398,8.62371,,,,,9.133939,,7.530872,,,,,,,,7.337774,7.093023,
16,United Kingdom,7.775084,16,10.0,0.1490973,8.293952,7.063669,7.52221,8.013598,,,8.117478,,7.063669,,7.530872,7.871579,8.150993,,,7.273821,8.191609,,8.293952,8.191609,7.065256
19,Belgium,7.487431,19,9.0,0.2100711,8.944249,6.696539,7.164905,7.853338,,,8.117478,,7.063669,,7.530872,7.065256,7.337774,,,8.944249,,,6.696539,7.315519,7.315519
19,Ireland,7.536039,19,8.0,0.231835,8.735157,6.480395,7.162666,7.921087,,,7.087936,,7.063669,,7.530872,8.076194,7.442509,,,6.480395,,,7.871579,8.735157,
21,Bahamas,7.289454,21,3.0,0.1100036,7.530872,7.063669,7.133719,7.445188,,,,,7.063669,,7.530872,,,,,7.273821,,,,,
22,Chile,7.213856,22,11.0,0.2117791,8.718776,6.292954,6.874789,7.576552,,,7.087936,6.895352,7.063669,,7.530872,7.442509,8.718776,,,8.092558,6.292954,,6.463129,7.337774,6.426892
22,Qatar,7.155269,22,7.0,0.7936602,9.318035,3.679111,5.803171,8.422897,,,,4.343517,7.063669,,9.318035,8.293952,8.735157,,,3.679111,,,8.65344,,
24,United States,7.135683,24,12.0,0.4049629,9.167364,4.511918,6.462811,7.79855,,,9.167364,,9.133939,,7.530872,6.595013,8.293952,7.337774,8.076194,7.273821,4.511918,,5.599956,5.410848,6.696539
25,France,7.005064,25,10.0,0.2656018,8.150993,5.702449,6.562427,7.437635,,,5.702449,,7.063669,,5.771078,7.337774,7.315519,,,8.092558,8.150993,,6.595013,6.322278,7.699308
25,Saint Lucia,7.018194,25,3.0,0.2550165,7.530872,6.460042,6.661251,7.375137,,,,,7.063669,,7.530872,,,,,,,6.460042,,,
25,Uruguay,7.04446,25,6.0,0.2833136,8.33074,6.322278,6.602769,7.544548,,,,8.33074,7.063669,,7.530872,,,,,6.480395,,,6.322278,6.538805,
28,United Arab Emirates,6.822888,28,8.0,0.4554553,9.000706,4.903588,6.071934,7.575165,,,,4.903588,5.057702,,7.530872,,6.595013,,,6.480395,,,7.315519,9.000706,7.699308
29,Estonia,6.353611,29,10.0,0.2911053,8.456448,5.057702,5.899011,6.847058,,,,6.895352,5.057702,6.696539,5.771078,6.696539,6.538805,,,5.207054,,,5.95148,6.265108,8.456448
30,Cyprus,6.265644,30,5.0,0.3703165,7.273821,5.010943,5.642076,6.889211,,,,,7.063669,,5.771078,,,,,7.273821,,,6.208707,5.010943,
31,Spain,6.2296,31,9.0,0.2843665,7.273821,4.468203,5.747945,6.683581,,,7.087936,,7.063669,,5.771078,6.265108,6.322278,,,7.273821,,,4.468203,5.38742,6.426892
32,Botswana,6.077882,32,7.0,0.1913055,7.063669,5.409258,5.784726,6.406175,5.729621,,,6.085847,7.063669,,5.771078,,,,,6.480395,,,5.409258,6.005304,
32,Portugal,6.097609,32,8.0,0.4208603,7.530872,4.511918,5.398237,6.760873,,,7.087936,,7.063669,,7.530872,4.681344,5.38742,,,7.273821,,,4.511918,5.24389,
32,Taiwan,6.136312,32,10.0,0.3094575,8.33074,5.057702,5.663043,6.671383,,,,8.33074,5.057702,,5.771078,7.315519,6.696539,5.50864,5.50864,5.207054,,,6.015728,5.95148,
35,Slovenia,5.870487,35,8.0,0.3941167,7.530872,4.478443,5.229213,6.537992,,,,6.595013,7.063669,6.595013,7.530872,4.73433,4.478443,,,5.207054,,,4.759503,,
36,Israel,5.80688,36,7.0,0.2672281,6.480395,4.422241,5.34265,6.234577,,,,,5.057702,,4.422241,6.208707,6.265108,,,6.480395,,,6.005304,6.208707,
36,Saint Vincent and the Grenadines,5.761158,36,3.0,0.7287493,7.530872,4.694899,4.815833,6.706482,,,,,5.057702,,7.530872,,,,,,,4.694899,,,
38,Bhutan,5.742364,38,4.0,0.2767565,6.460042,4.903588,5.292701,6.147395,,5.834747,,4.903588,,,5.771078,,,,,,,6.460042,,,
39,Malta,5.592464,39,5.0,0.2271976,6.480395,5.057702,5.237615,5.982441,,,,,5.057702,,5.771078,,,,,6.480395,,,5.24389,5.409258,
39,Puerto Rico,5.586649,39,4.0,0.4839947,7.063669,4.500907,4.818449,6.422978,,,,,7.063669,,5.771078,,,,,,,,5.010943,4.500907,
41,Cape Verde,5.524542,41,5.0,0.2935493,6.460042,4.422241,5.053227,5.969923,5.729621,,,,,,4.422241,,,,,,,6.460042,5.410848,5.599956,
41,Poland,5.482418,41,12.0,0.2959878,7.530872,3.679111,5.003172,5.974217,,,7.087936,5.444675,5.057702,5.223387,7.530872,4.511918,4.784618,,,3.679111,6.292954,,5.059172,5.507146,5.609521
43,Korea (South),5.356394,43,13.0,0.2289189,7.337774,4.078753,4.991059,5.746997,,,5.702449,6.085847,5.057702,,4.422241,6.015728,5.544832,5.046392,5.046392,5.207054,7.337774,,4.078753,4.478443,5.609521
44,Brunei,5.207397,44,4.0,0.5925981,6.463129,3.679111,4.236459,6.314613,,,,,,,4.422241,,,,,3.679111,,,6.265108,6.463129,
44,Dominica,5.17456,44,3.0,0.259273,5.771078,4.694899,4.815833,5.533286,,,,,5.057702,,5.771078,,,,,,,4.694899,,,
46,Bahrain,5.109879,46,6.0,0.6684372,7.871579,3.089837,4.066072,6.259597,,,,3.089837,5.057702,,4.422241,,,,,3.679111,,,6.538805,7.871579,
46,Macau,5.110873,46,3.0,0.7393982,6.015728,3.301163,4.206018,6.015728,,,,,,,3.301163,,,6.015728,6.015728,,,,,,
46,Mauritius,5.067148,46,6.0,0.3673723,7.063669,4.422241,4.600385,5.827822,4.778676,,,4.581388,7.063669,,4.422241,,,,,,,,4.784618,4.772294,
49,Rwanda,4.983419,49,6.0,0.7158962,7.442509,3.385403,3.781981,6.192071,3.691197,,,3.516655,,,4.422241,,,,,,,3.385403,7.442509,7.442509,
50,Costa Rica,4.798095,50,6.0,0.5888865,7.063669,2.558819,3.799911,5.823949,,,,6.085847,7.063669,,4.422241,,,,,2.558819,,,4.146078,4.511918,
50,Lithuania,4.751965,50,9.0,0.4423871,7.063669,2.558819,4.035676,5.495265,,,,6.085847,7.063669,4.512837,5.771078,5.059172,4.351213,,,2.558819,,,3.286297,4.078753,
50,Oman,4.834576,50,6.0,0.8219494,8.085124,2.56624,3.49653,6.230374,,,,2.56624,3.189486,,4.422241,,,,,3.679111,,,8.085124,7.065256,
50,Seychelles,4.82171,50,3.0,0.9740107,7.063669,2.97922,3.460227,6.183193,2.97922,,,,7.063669,,4.422241,,,,,,,,,,
