country,cpi11,stafdb2010beta,stadb2010beta,stbsgi2011beta,stbti2012beta,steiu2011beta,stfh2011beta,stgi2011beta,stimd2010beta,stimd2011beta,stperc2010beta,stperc2011beta,stprs2011beta,sttibpi2011beta,stwb2010beta,stwef2010beta,stwef2011beta,stwjp2011beta
New Zealand,9.454302,,,9.693692,,9.119854,,9.307162,9.4904,9.472668,,,9.468166,,,9.523186,9.4904,9.523186
Finland,9.394515,,,9.153863,,9.119854,,9.307162,9.472668,9.4904,,,9.788888,,,9.411642,9.411642,
Denmark,9.382483,,,9.153863,,9.119854,,9.307162,9.523186,9.523186,,,9.468166,,,9.441266,9.523186,
Sweden,9.316553,,,9.693692,,9.119854,,9.307162,9.441266,8.984297,,,8.926858,,,9.472668,9.441266,9.461918
Singapore,9.175352,,,,8.302875,9.119854,,9.307162,9.411642,9.058928,9.472668,9.472668,8.060772,9.472668,,9.4904,9.472668,9.461918
Norway,9.012827,,,8.739278,,9.119854,,9.307162,8.631027,8.805851,,,8.926858,,,9.085218,9.058928,9.441266
Netherlands,8.891647,,,8.086098,,9.119854,,9.307162,8.920708,9.085218,,,8.926858,,,8.714148,8.805851,9.058928
Australia,8.856585,,,8.739278,,9.119854,,9.307162,9.058928,9.411642,8.920708,8.920708,8.926858,,,8.12016,8.12016,8.776977
Switzerland,8.782031,,,9.153863,,9.119854,,7.49027,9.085218,9.441266,,,8.060772,,,8.984297,8.920708,
Canada,8.715696,,,9.153863,,9.119854,,9.307162,8.714148,8.161442,,,8.926858,,,8.161442,8.265475,8.631027
Luxembourg,8.482549,,,8.739278,,7.016278,,7.49027,8.984297,8.920708,,,8.926858,,,8.697485,9.085218,
Hong Kong,8.373632,,,,,9.119854,,7.49027,8.161442,8.631027,8.044142,7.294302,8.060772,8.631027,,9.058928,8.697485,8.920708
Iceland,8.245671,,,9.153863,,7.016278,,7.49027,7.933586,8.044142,,,9.468166,,,8.805851,8.053217,
Germany,8.08558,,,8.086098,,9.119854,,7.49027,8.12016,7.836247,,,8.926858,7.836247,,7.017887,8.044142,8.378035
Japan,8.011395,,,5.638762,,7.016278,,7.49027,8.697485,7.933586,8.631027,8.631027,8.060772,7.400583,,8.920708,8.631027,9.085218
United Kingdom,7.841097,,,8.086098,,7.016278,,7.49027,7.836247,8.12016,,,7.229417,8.161442,,8.265475,8.161442,8.044142
Austria,7.785461,,,8.086098,,7.016278,,7.49027,8.805851,7.017887,,,8.926858,8.044142,,7.046042,6.644208,8.776977
Barbados,7.737617,,,,,9.119854,,7.49027,,,,,,,,7.294302,7.046042,
Belgium,7.540865,,,8.086098,,7.016278,,7.49027,7.017887,7.294302,,,8.926858,,,6.644208,7.271722,8.12016
Ireland,7.495986,,,7.040884,,7.016278,,7.49027,8.044142,7.400583,,,6.425333,,,7.836247,8.714148,
Chile,7.36622,,,7.040884,6.84565,7.016278,,7.49027,7.400583,8.697485,,,8.060772,7.017887,,6.407854,7.294302,7.756448
Bahamas,7.245322,,,,,7.016278,,7.49027,,,,,7.229417,,,,,
USA,7.205363,,,9.153863,,9.119854,,7.49027,6.541381,8.265475,7.294302,8.044142,7.229417,4.609661,,5.535286,5.344463,7.836247
Qatar,7.11548,,,,4.270159,7.016278,,9.307162,8.265475,8.714148,,,3.60411,,,8.631027,,
France,7.029479,,,5.638762,,7.016278,,5.708071,7.294302,7.271722,,,8.060772,8.12016,,6.541381,6.265306,8.378035
Uruguay,6.997421,,,,8.302875,7.016278,,7.49027,,,,,6.425333,,,6.265306,6.484467,
Saint Lucia,6.970426,,,,,7.016278,,7.49027,,,,,,,6.40473,,,
United Arab Emirates,6.8641,,,,4.833286,4.98848,,7.49027,,6.541381,,,6.425333,,,7.271722,8.984297,8.378035
Estonia,6.332883,,,,6.84565,4.98848,6.644208,5.708071,6.644208,6.484467,,,5.138973,,,5.890338,6.207464,8.776977
Spain,6.326678,,,7.040884,,7.016278,,5.708071,6.207464,6.265306,,,7.229417,,,4.395401,5.320832,7.756448
Cyprus,6.209112,,,,,7.016278,,5.708071,,,,,7.229417,,,6.150411,4.941384,
Taiwan,6.078619,,,,8.302875,4.98848,,5.708071,7.271722,6.644208,5.443125,5.443125,5.138973,,,5.955276,5.890338,
Portugal,6.040347,,,7.040884,,7.016278,,7.49027,4.609661,5.320832,,,7.229417,,,4.439329,5.176104,
Botswana,6.018521,5.666202,,,6.026164,7.016278,,5.708071,,,,,6.425333,,,5.342859,5.944739,
Slovenia,5.810651,,,,6.541381,7.016278,6.541381,7.49027,4.662956,4.40569,,,5.138973,,,4.688281,,
Israel,5.745152,,,,,4.98848,,4.349226,6.150411,6.207464,,,6.425333,,,5.944739,6.150411,
Saint Vincent and the Grenadines,5.700681,,,,,4.98848,,7.49027,,,,,,,4.623294,,,
Bhutan,5.679618,,5.772386,,4.833286,,,5.708071,,,,,,,6.40473,,,
Poland,5.647949,,,7.040884,5.378588,4.98848,5.155436,7.49027,4.439329,4.71355,,,3.60411,7.017887,,4.989961,5.441618,7.515279
Malta,5.528169,,,,,4.98848,,5.708071,,,,,6.425333,,,5.176104,5.342859,
Puerto Rico,5.526265,,,,,7.016278,,5.708071,,,,,,,,4.941384,4.439329,
Cape Verde,5.459981,5.666202,,,,,,4.349226,,,,,,,6.40473,5.344463,5.535286,
South Korea,5.444078,,,5.638762,6.026164,4.98848,,4.349226,5.955276,5.479648,4.977088,4.977088,5.138973,7.294302,,4.004465,4.428263,7.515279
Brunei,5.142163,,,,,,,4.349226,,,,,3.60411,,,6.207464,6.407854,
Dominica,5.106615,,,,,4.98848,,5.708071,,,,,,,4.623294,,,
Bahrain,5.046338,,,,3.015495,4.98848,,4.349226,,,,,3.60411,,,6.484467,7.836247,
Macao,5.045628,,,,,,,3.226333,,,5.955276,5.955276,,,,,,
Mauritius,5.005922,4.707572,,,4.509154,7.016278,,4.349226,,,,,,,,4.71355,4.739752,
Rwanda,4.91978,3.616206,,,3.441622,,,4.349226,,,,,,,3.310459,7.400583,7.400583,
Oman,4.772299,,,,2.494478,3.114877,,4.349226,,,,,3.60411,,,8.053217,7.017887,
Costa Rica,4.760072,,,,6.026164,7.016278,,4.349226,,,,,2.487109,,,4.071992,4.609661,
Seychelles,4.756919,2.905255,,,,7.016278,,4.349226,,,,,,,,,,
