Country Rank,Country/Territory,Country Code,Region,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
1,Denmark,DNK,WE/EU,91,7,2.1600000858306885,83,98,87,95,,89.0,,,96.0,97.0,88.0,98.0,88.0,83.0,,
1,New Zealand,NZL,AP,91,7,2.319999933242798,83,98,87,95,,92.0,,,93.0,97.0,83.0,98.0,88.0,83.0,,
3,Finland,FIN,WE/EU,90,7,1.7699999809265137,83,98,87,93,,93.0,,,91.0,89.0,88.0,98.0,88.0,83.0,,
4,Sweden,SWE,WE/EU,89,7,1.7100000381469727,83,98,86,92,,89.0,,,87.0,89.0,88.0,98.0,88.0,83.0,,
5,Norway,NOR,WE/EU,88,7,2.240000009536743,81,98,84,92,,92.0,,,84.0,81.0,90.0,98.0,88.0,83.0,,
6,Switzerland,CHE,WE/EU,86,6,2.549999952316284,73,89,82,90,,87.0,,,88.0,89.0,,89.0,88.0,73.0,,
7,Luxembourg,LUX,WE/EU,85,5,1.600000023841858,81,89,82,88,,89.0,,,85.0,81.0,,89.0,,83.0,,
7,Singapore,SGP,AP,85,8,2.0199999809265137,75,92,82,88,,92.0,75.0,,87.0,,90.0,79.0,88.0,83.0,84.0,
9,Netherlands,NLD,WE/EU,84,7,1.9800000190734863,73,89,81,87,,84.0,,,85.0,73.0,85.0,89.0,88.0,83.0,,
10,Canada,CAN,AME,83,7,1.6299999952316284,79,89,80,86,,79.0,,,79.0,81.0,79.0,89.0,88.0,83.0,,
11,Germany,DEU,WE/EU,81,7,2.5,72,89,77,85,,72.0,,,83.0,81.0,80.0,89.0,88.0,73.0,,
11,United Kingdom,GBR,WE/EU,81,7,2.4000000953674316,73,89,77,85,,82.0,,,81.0,73.0,80.0,89.0,88.0,73.0,,
13,Australia,AUS,AP,79,8,1.5,71,83,77,81,,81.0,,,82.0,81.0,81.0,79.0,71.0,83.0,74.0,
13,Iceland,ISL,WE/EU,79,5,4.53000020980835,65,89,72,86,,87.0,,,83.0,65.0,,89.0,,73.0,,
15,Belgium,BEL,WE/EU,77,7,1.340000033378601,71,81,75,79,,79.0,,,77.0,81.0,76.0,79.0,71.0,73.0,,
16,Austria,AUT,WE/EU,76,7,1.7599999904632568,70,81,73,79,,77.0,,,70.0,81.0,81.0,79.0,71.0,73.0,,
16,United States,USA,AME,76,8,3.4700000286102295,59,89,70,82,,69.0,,,74.0,89.0,74.0,79.0,88.0,73.0,59.0,
