Country,CPI2016,Rank,Region,WB Code,World Bank CPIA,World Economic Forum EOS,Global Insight Country Risk Ratings,Bertelsmann Foundation Transformation Index,African Development Bank CPIA,IMD World Competitiveness Yearbook,Bertelsmann Foundation Sustainable Governance Index,World Justice Project Rule of Law Index,PRS International Country Risk Guide,Varities of Democracy Project,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,PERC Asia Risk Guide,Number of Sources,Std Error 2016,Lower CI,Upper CI,Min,Max,OECD,G20,BRICS,EU,Arab states
New Zealand,90,1,AP,NZL,,90.0,83,,,95.0,99.0,79.0,93.0,,90.0,,,7,2.56,86,94,79,99,y,,,,
Denmark,90,1,WE/EU,DNK,,85.0,83,,,98.0,99.0,85.0,93.0,,90.0,,,7,2.46,86,94,83,99,y,,,y,
Finland,89,3,WE/EU,FIN,,91.0,83,,,94.0,90.0,85.0,93.0,,90.0,,,7,1.46,87,92,83,94,y,,,y,
Sweden,88,4,WE/EU,SWE,,86.0,83,,,86.0,90.0,85.0,93.0,,90.0,,,7,1.33,85,90,83,93,y,,,y,
Switzerland,86,5,WE/EU,CHE,,80.0,83,,,88.0,90.0,,85.0,,90.0,,,6,1.57,83,89,80,90,y,,,,
Norway,85,6,WE/EU,NOR,,80.0,83,,,83.0,80.0,84.0,93.0,,90.0,,,7,1.85,82,88,80,93,y,,,,
Singapore,84,7,AP,SGP,,88.0,83,73.0,,91.0,,85.0,76.0,,90.0,,89.0,8,2.35,81,88,73,91,,,,,
Netherlands,83,8,WE/EU,NLD,,82.0,83,,,89.0,71.0,82.0,85.0,,90.0,,,7,2.32,79,87,71,90,y,,,y,
Canada,82,9,AME,CAN,,73.0,83,,,85.0,80.0,79.0,85.0,,90.0,,,7,2.03,79,85,73,90,y,y,,,
Germany,81,10,WE/EU,DEU,,67.0,83,,,85.0,80.0,79.0,85.0,,90.0,,,7,2.73,77,86,67,90,y,y,,y,
Luxembourg,81,10,WE/EU,LUX,,85.0,83,,,81.0,80.0,,85.0,,72.0,,,6,1.96,78,84,72,85,y,,,y,
United Kingdom,81,10,WE/EU,GBR,,80.0,71,,,80.0,80.0,80.0,85.0,,90.0,,,7,2.12,77,84,71,90,y,y,,y,
Australia,79,13,AP,AUS,,80.0,83,,,81.0,80.0,78.0,76.0,,72.0,,81.0,8,1.27,77,81,72,83,y,y,,,
Iceland,78,14,WE/EU,ISL,,85.0,83,,,80.0,61.0,,85.0,,72.0,,,6,3.81,71,84,61,85,y,,,,
Hong Kong,77,15,AP,HKG,,82.0,83,,,87.0,,77.0,67.0,,72.0,,74.0,7,2.62,73,82,67,87,,,,,
Belgium,77,15,WE/EU,BEL,,73.0,83,,,79.0,80.0,74.0,76.0,,72.0,,,7,1.55,74,79,72,83,y,,,y,
Austria,75,17,WE/EU,AUT,,73.0,71,,,74.0,80.0,79.0,76.0,,72.0,,,7,1.36,73,77,71,80,y,,,y,
The United States of America,74,18,AME,USA,,65.0,71,,,74.0,90.0,72.0,76.0,69.0,90.0,,64.0,9,3.15,69,80,64,90,y,y,,,
Ireland,73,19,WE/EU,IRL,,83.0,71,,,83.0,71.0,,76.0,,54.0,,,6,4.31,66,80,54,83,y,,,y,
Japan,72,20,AP,JPN,,78.0,71,,,74.0,52.0,75.0,76.0,,72.0,,78.0,8,3.02,67,77,52,78,y,y,,,
Uruguay,71,21,AME,URY,,68.0,59,77.0,,,,72.0,76.0,,72.0,,,6,2.68,66,75,59,77,,,,,
Estonia,70,22,WE/EU,EST,,76.0,71,73.0,,66.0,80.0,70.0,67.0,69.0,54.0,70.0,,10,2.16,66,73,54,80,y,,,y,
France,69,23,WE/EU,FRA,,69.0,71,,,73.0,52.0,69.0,76.0,,72.0,,,7,2.97,64,74,52,76,y,y,,y,
Bahamas,66,24,AME,BHS,,,59,,,,,62.0,76.0,,,,,3,5.2,57,74,59,76,,,,,
Chile,66,24,AME,CHL,,64.0,59,73.0,,54.0,61.0,65.0,76.0,,72.0,,,8,2.65,61,70,54,76,y,,,,
United Arab Emirates,66,24,MENA,ARE,,86.0,47,53.0,,81.0,,73.0,67.0,,54.0,,,7,5.7,56,75,47,86,,,,,y
Bhutan,65,27,AP,BTN,69.0,59.0,71,65.0,,,,,,64.0,,,,5,2.12,62,69,59,71,,,,,
Israel,64,28,MENA,ISR,,69.0,59,,,64.0,61.0,,58.0,,72.0,,,6,2.27,60,68,58,72,y,,,,
Poland,62,29,WE/EU,POL,,56.0,59,69.0,,60.0,71.0,66.0,58.0,66.0,54.0,59.0,,10,1.77,59,65,54,71,y,,,y,
Portugal,62,29,WE/EU,PRT,,59.0,59,,,51.0,71.0,68.0,67.0,67.0,54.0,,,8,2.58,58,66,51,71,y,,,y,
Barbados,61,31,AME,BRB,,48.0,71,,,,,65.0,,,,,,3,6.91,50,73,48,71,,,,,
Taiwan,61,31,AP,TWN,,68.0,71,77.0,,65.0,,,50.0,50.0,54.0,,51.0,8,3.79,55,67,50,77,,,,,
Qatar,61,31,MENA,QAT,,82.0,47,40.0,,80.0,,,67.0,39.0,72.0,,,7,7.02,49,72,39,82,,,,,y
Slovenia,61,31,WE/EU,SVN,,58.0,71,65.0,,46.0,61.0,59.0,58.0,67.0,54.0,70.0,,10,2.44,57,65,46,71,y,,,y,
Saint Lucia,60,35,AME,LCA,69.0,,47,,,,,65.0,,,,,,3,6.8,49,71,47,69,,,,,
Saint Vincent and The Grenadines,60,35,AME,VCT,58.0,,59,,,,,63.0,,,,,,3,1.66,57,63,58,63,,,,,
Botswana,60,35,SSA,BWA,,52.0,59,57.0,,,,55.0,67.0,,72.0,,,6,3.1,55,66,52,72,,,,,
Dominica,59,38,AME,DMA,58.0,,59,,,,,61.0,,,,,,3,0.85,58,60,58,61,,,,,
Cape Verde,59,38,SSA,CPV,69.0,49.0,59,,,,,,,,,,,3,5.72,50,68,49,69,,,,,
Lithuania,59,38,WE/EU,LTU,,56.0,59,65.0,,53.0,61.0,,58.0,64.0,54.0,59.0,,9,1.36,57,61,53,65,,,,y,
Costa Rica,58,41,AME,CRI,,46.0,59,65.0,,,,61.0,50.0,69.0,54.0,,,7,3.17,53,63,46,69,,,,,
Brunei,58,41,AP,BRN,,61.0,71,,,,,,41.0,,,,,3,8.85,43,72,41,71,,,,,
Spain,58,41,WE/EU,ESP,,51.0,59,,,38.0,61.0,65.0,58.0,,72.0,,,7,4.09,51,65,38,72,y,,,y,
Georgia,57,44,ECA,GEO,,68.0,47,53.0,,,,61.0,,65.0,,49.0,,6,3.61,51,63,47,68,,,,,
Latvia,57,44,WE/EU,LVA,,48.0,59,57.0,,45.0,71.0,,50.0,67.0,54.0,65.0,,9,2.96,52,62,45,71,y,,,y,
Grenada,56,46,AME,GRD,58.0,,47,,,,,62.0,,,,,,3,4.63,48,63,47,62,,,,,
Cyprus,55,47,WE/EU,CYP,,49.0,47,,,,42.0,,67.0,,72.0,,,5,5.94,46,65,42,72,,,,y,
Czech Republic,55,47,WE/EU,CZE,,46.0,59,65.0,,47.0,52.0,62.0,50.0,,54.0,59.0,,9,2.24,51,59,46,65,y,,,y,
Malta,55,47,WE/EU,MLT,,54.0,59,,,,52.0,,58.0,,54.0,,,5,1.39,53,58,52,59,,,,y,
Mauritius,54,50,SSA,MUS,,53.0,59,49.0,,,,,,,54.0,,,4,2.14,50,57,49,59,,,,,
Rwanda,54,50,SSA,RWA,47.0,76.0,59,40.0,53.0,,,,,49.0,,,,6,5.07,46,62,40,76,,,,,
