Country,ISO3,CPI Score 2017,Rank 2017,Standard error 2017,Lower CI 2017,Upper CI 2017,Sources,World Bank CPIA,World Economic Forum EOS,Global Insight Country Risk Ratings,Bertelsmann Foundation Transformation Index,African Development Bank CPIA,IMD World Competitiveness Yearbook,Bertelsmann Foundation Sustainable Governance Index,World Justice Project Rule of Law Index,PRS International Country Risk Guide,Varieties of Democracy Project,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,PERC Asia Risk Guide
New Zealand,NZL,89,1,2.4,85,93,8,,92,83,,,93,97,82,93,77,90,,
Denmark,DNK,88,2,2.75,83,93,8,,80,83,,,99,97,88,93,77,90,,
Switzerland,CHE,85,3,1.71,82,88,7,,85,83,,,89,88,,85,77,90,,
Norway,NOR,85,3,1.83,82,88,8,,86,83,,,85,79,86,93,77,90,,
Finland,FIN,85,3,2.84,80,90,8,,92,83,,,92,88,86,93,75,72,,
Sweden,SWE,84,6,2.27,80,88,8,,74,83,,,84,88,86,93,77,90,,
Singapore,SGP,84,6,2.26,80,88,9,,90,83,73,,90,,85,79,77,90,,92
Canada,CAN,82,8,1.49,80,84,8,,80,83,,,86,79,80,85,77,90,,
Netherlands,NLD,82,8,2.23,78,86,8,,84,83,,,89,70,80,85,77,90,,
Luxembourg,LUX,82,8,2.08,79,85,6,,86,83,,,84,79,,85,,72,,
United Kingdom,GBR,82,8,1.7,79,85,8,,80,83,,,83,79,81,85,73,90,,
Germany,DEU,81,12,1.87,78,84,8,,74,83,,,85,79,78,85,76,90,,
Hong Kong,HKG,77,13,2.37,73,81,7,,83,83,,,83,,72,70,,72,,71
Iceland,ISL,77,13,4.38,70,84,7,,83,83,,,84,53,,85,77,72,,
Australia,AUS,77,13,1.4,75,79,9,,82,71,,,81,79,78,76,75,72,,83
United States of America,USA,75,16,3.24,70,80,9,,71,71,,,75,88,73,76,74,90,,57
Austria,AUT,75,16,1.17,73,77,8,,72,71,,,75,79,80,76,74,72,,
Belgium,BEL,75,16,1.63,72,78,8,,68,83,,,75,79,74,76,76,72,,
Ireland,IRL,74,19,3.68,68,80,7,,79,71,,,85,79,,76,72,55,,
Japan,JPN,73,20,2.66,69,77,9,,78,71,,,76,53,78,76,72,72,,79
